date,region,product,units_sold,unit_price,revenue,customer_satisfaction
2026-01-05,EMEA,Widget Pro,120,29.99,3598.80,4.5
2026-01-12,NA,Widget Lite,340,9.99,3396.60,4.1
2026-01-19,APAC,Widget Pro,85,29.99,2549.15,4.7
2026-02-02,EMEA,Widget Lite,410,9.99,4095.90,4.2
2026-02-09,NA,Widget Max,60,59.99,3599.40,4.8
2026-02-16,APAC,Widget Lite,295,9.99,2947.05,4.0
2026-03-01,EMEA,Widget Max,45,59.99,2699.55,4.6
2026-03-08,NA,Widget Pro,180,29.99,5398.20,4.4
2026-03-15,APAC,Widget Max,70,59.99,4199.30,4.9
2026-03-22,EMEA,Widget Lite,380,9.99,3796.20,4.3
2026-04-05,NA,Widget Lite,520,9.99,5194.80,4.2
2026-04-12,APAC,Widget Pro,140,29.99,4198.60,4.6
2026-04-19,EMEA,Widget Max,55,59.99,3299.45,4.7
2026-05-03,NA,Widget Pro,210,29.99,6297.90,4.5
2026-05-10,APAC,Widget Lite,330,9.99,3296.70,4.1
2026-05-17,EMEA,Widget Pro,165,29.99,4948.35,4.4
2026-06-01,NA,Widget Max,90,59.99,5399.10,4.8
2026-06-08,APAC,Widget Pro,125,29.99,3748.75,4.5
2026-06-15,EMEA,Widget Lite,455,9.99,4545.45,4.2
2026-06-22,NA,Widget Lite,610,9.99,6093.90,4.3
